,content_id,content_title,content_type,duration,avg_rating,cast/producer_for_anime,director/studio_for_anime,content_genres,content_description,release_year
0,32281,Kimi no Na wa.,Movie,1 hr. 46 min.,9.19,"Kadokawa Shoten, Toho, Sound Team Don Juan, Lawson HMV Entertainment, Amuse, East Japan Marketing &amp; Communications",CoMix Wave Films,"Supernatural, Drama, Romance, School","PG-13 - Teens 13 or older
Kimi no Na wa. is a Movie. Genre: Supernatural, Drama, Romance, School. Produced by Kadokawa Shoten, Toho, Sound Team Don Juan, Lawson HMV Entertainment, Amuse, East Japan Marketing &amp; Communications, Studio: CoMix Wave Films.",2016
1,5114,Fullmetal Alchemist: Brotherhood,TV,24 min. per ep.,9.25,"Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken",Bones,"Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen","R - 17+ (violence & profanity)
Fullmetal Alchemist: Brotherhood is a TV. Genre: Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen. Produced by Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken, Studio: Bones.",2009
2,28977,Gintama°,TV,24 min. per ep.,9.15,"TV Tokyo, Aniplex, Dentsu",Bandai Namco Pictures,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","R - 17+ (violence & profanity)
Gintama° is a TV. Genre: Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen. Produced by TV Tokyo, Aniplex, Dentsu, Studio: Bandai Namco Pictures.",2015
3,9253,Steins;Gate,TV,24 min. per ep.,9.14,"Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus",White Fox,"Thriller, Sci-Fi","PG-13 - Teens 13 or older
Steins;Gate is a TV. Genre: Thriller, Sci-Fi. Produced by Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus, Studio: White Fox.",2011
4,9969,Gintama&#039;,TV,24 min. per ep.,9.11,"TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Studio Jack, Shueisha",Sunrise,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","PG-13 - Teens 13 or older
Gintama&#039; is a TV. Genre: Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen. Produced by TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Studio Jack, Shueisha, Studio: Sunrise.",2011
5,32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,TV,24 min. per ep.,8.99,"TOHO animation, Shueisha",Production I.G,"Comedy, Sports, Drama, School, Shounen","PG-13 - Teens 13 or older
Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou is a TV. Genre: Comedy, Sports, Drama, School, Shounen. Produced by TOHO animation, Shueisha, Studio: Production I.G.",2016
6,11061,Hunter x Hunter (2011),TV,23 min. per ep.,9.11,"VAP, Nippon Television Network, Shueisha",Madhouse,"Action, Adventure, Super Power, Shounen","PG-13 - Teens 13 or older
Hunter x Hunter (2011) is a TV. Genre: Action, Adventure, Super Power, Shounen. Produced by VAP, Nippon Television Network, Shueisha, Studio: Madhouse.",2011
7,820,Ginga Eiyuu Densetsu,OVA,26 min. per ep.,9.11,Kitty Films,"Artland, Magic Bus","Military, Sci-Fi, Space, Drama","R - 17+ (violence & profanity)
Ginga Eiyuu Densetsu is a OVA. Genre: Military, Sci-Fi, Space, Drama. Produced by Kitty Films, Studio: Artland, Magic Bus.",1988
8,15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1 hr. 50 min.,9.04,"TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros., Shueisha",Sunrise,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","PG-13 - Teens 13 or older
Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare is a Movie. Genre: Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen. Produced by TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros., Shueisha, Studio: Sunrise.",2013
9,15417,Gintama&#039;: Enchousen,TV,24 min. per ep.,9.07,"TV Tokyo, Aniplex, Dentsu, Shueisha, Miracle Bus",Sunrise,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","PG-13 - Teens 13 or older
Gintama&#039;: Enchousen is a TV. Genre: Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen. Produced by TV Tokyo, Aniplex, Dentsu, Shueisha, Miracle Bus, Studio: Sunrise.",2012
10,4181,Clannad: After Story,TV,24 min. per ep.,9.01,"Pony Canyon, TBS, Rakuonsha, Animation Do",Kyoto Animation,"Slice of Life, Comedy, Supernatural, Drama, Romance","PG-13 - Teens 13 or older
Clannad: After Story is a TV. Genre: Slice of Life, Comedy, Supernatural, Drama, Romance. Produced by Pony Canyon, TBS, Rakuonsha, Animation Do, Studio: Kyoto Animation.",2008
11,28851,Koe no Katachi,Movie,2 hr. 10 min.,9.04,"Shochiku, Pony Canyon, Kodansha, ABC Animation, Quaras",Kyoto Animation,"Drama, School, Shounen","PG-13 - Teens 13 or older
Koe no Katachi is a Movie. Genre: Drama, School, Shounen. Produced by Shochiku, Pony Canyon, Kodansha, ABC Animation, Quaras, Studio: Kyoto Animation.",2016
12,918,Gintama,TV,24 min. per ep.,9.01,"TV Tokyo, Aniplex, Dentsu, Trinity Sound, Audio Highs, Miracle Robo, Shueisha",Sunrise,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","PG-13 - Teens 13 or older
Gintama is a TV. Genre: Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen. Produced by TV Tokyo, Aniplex, Dentsu, Trinity Sound, Audio Highs, Miracle Robo, Shueisha, Studio: Sunrise.",2006
13,2904,Code Geass: Hangyaku no Lelouch R2,TV,24 min. per ep.,8.95,"Bandai Visual, Mainichi Broadcasting System, Bandai, Bandai Namco Entertainment, Hakuhodo DY Media Partners",Sunrise,"Action, Military, Sci-Fi, Super Power, Drama, Mecha","R - 17+ (violence & profanity)
Code Geass: Hangyaku no Lelouch R2 is a TV. Genre: Action, Military, Sci-Fi, Super Power, Drama, Mecha. Produced by Bandai Visual, Mainichi Broadcasting System, Bandai, Bandai Namco Entertainment, Hakuhodo DY Media Partners, Studio: Sunrise.",2008
14,28891,Haikyuu!! Second Season,TV,24 min. per ep.,8.87,"TOHO animation, Shueisha",Production I.G,"Comedy, Sports, Drama, School, Shounen","PG-13 - Teens 13 or older
Haikyuu!! Second Season is a TV. Genre: Comedy, Sports, Drama, School, Shounen. Produced by TOHO animation, Shueisha, Studio: Production I.G.",2015
15,199,Sen to Chihiro no Kamikakushi,Movie,2 hr. 5 min.,8.92,Toho,Studio Ghibli,"Adventure, Supernatural, Drama","PG - Children
Sen to Chihiro no Kamikakushi is a Movie. Genre: Adventure, Supernatural, Drama. Produced by Toho, Studio: Studio Ghibli.",2001
16,23273,Shigatsu wa Kimi no Uso,TV,22 min. per ep.,8.88,"Aniplex, Dentsu, Kodansha, Fuji TV, Kyoraku Industrial Holdings",A-1 Pictures,"Drama, Music, Romance, School, Shounen","PG-13 - Teens 13 or older
Shigatsu wa Kimi no Uso is a TV. Genre: Drama, Music, Romance, School, Shounen. Produced by Aniplex, Dentsu, Kodansha, Fuji TV, Kyoraku Industrial Holdings, Studio: A-1 Pictures.",2014
17,24701,Mushishi Zoku Shou 2nd Season,TV,23 min. per ep.,8.83,"Aniplex, Kodansha, Delfi Sound",Artland,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural","PG-13 - Teens 13 or older
Mushishi Zoku Shou 2nd Season is a TV. Genre: Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural. Produced by Aniplex, Kodansha, Delfi Sound, Studio: Artland.",2014
18,12355,Ookami Kodomo no Ame to Yuki,Movie,1 hr. 57 min.,8.77,"Madhouse, VAP, Dentsu, Yomiuri Telecasting, Kadokawa Shoten, Toho, Hiroshima Television",Studio Chizu,"Slice of Life, Fantasy","PG - Children
Ookami Kodomo no Ame to Yuki is a Movie. Genre: Slice of Life, Fantasy. Produced by Madhouse, VAP, Dentsu, Yomiuri Telecasting, Kadokawa Shoten, Toho, Hiroshima Television, Studio: Studio Chizu.",2012
19,1575,Code Geass: Hangyaku no Lelouch,TV,24 min. per ep.,8.79,"Bandai Visual, Mainichi Broadcasting System, Bandai, Sony Music Entertainment, Bandai Namco Entertainment, Hakuhodo DY Media Partners",Sunrise,"Action, Military, Sci-Fi, Super Power, Drama, Mecha, School","R - 17+ (violence & profanity)
Code Geass: Hangyaku no Lelouch is a TV. Genre: Action, Military, Sci-Fi, Super Power, Drama, Mecha, School. Produced by Bandai Visual, Mainichi Broadcasting System, Bandai, Sony Music Entertainment, Bandai Namco Entertainment, Hakuhodo DY Media Partners, Studio: Sunrise.",2006
20,263,Hajime no Ippo,TV,23 min. per ep.,8.8,VAP,Madhouse,"Comedy, Sports, Drama, Shounen","PG-13 - Teens 13 or older
Hajime no Ippo is a TV. Genre: Comedy, Sports, Drama, Shounen. Produced by VAP, Studio: Madhouse.",2000
21,44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,30 min. per ep.,8.79,Aniplex,Studio Deen,"Action, Historical, Drama, Romance, Martial Arts, Samurai","R - 17+ (violence & profanity)
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen is a OVA. Genre: Action, Historical, Drama, Romance, Martial Arts, Samurai. Produced by Aniplex, Studio: Studio Deen.",1999
22,1,Cowboy Bebop,TV,24 min. per ep.,8.81,Bandai Visual,Sunrise,"Action, Adventure, Comedy, Drama, Sci-Fi, Space","R - 17+ (violence & profanity)
Cowboy Bebop is a TV. Genre: Action, Adventure, Comedy, Drama, Sci-Fi, Space. Produced by Bandai Visual, Studio: Sunrise.",1998
